"store_id","size","average_weekly_sales","total_sales"
20,203742,"29508.301591932641","301397792.46"
4,205863,"29161.210414719626","299543953.38"
14,200898,"28784.851727091633","288999911.34"
13,219622,"27355.136891350010","286517703.80"
2,202307,"26898.070031256105","275382440.98"
10,126512,"26332.303818710616","271617713.89"
27,204184,"24826.984535941320","253855916.88"
6,202505,"21913.243623543238","223756130.64"
1,151315,"21710.543620655994","222402808.85"
39,184109,"21000.763562462037","207445542.47"
19,203819,"20362.126734331888","206634862.10"
31,203750,"19681.9074640110431867","199613905.50"
23,114533,"19776.1808805970149254","198750617.85"
24,203819,"18969.1064998044583496","194016021.28"
11,207499,"19276.7627509441462930","193962786.80"
28,206302,"18714.8898032235736181","189263680.58"
41,196321,"17976.0046480967486122","181341934.89"
32,203007,"16351.6218545383258185","166819246.16"
18,120653,"15733.313136220712","155114734.21"
22,119557,"15181.218886251032","147075648.57"
12,112238,"14867.308619268418","144287230.15"
26,152513,"14554.129672214329","143416393.79"
34,158114,"13522.0816705790297340","138249763.00"
40,155083,"13763.6328032345013477","137870309.79"
35,103681,"13803.596985726280","131520672.08"
8,155078,"13133.014768064679","129951181.13"
17,93188,"12954.393636455799","127782138.83"
45,118221,"11662.897314516966","112395341.42"
21,140167,"11283.435495721144","108117878.92"
25,128107,"10308.157810077519","101061179.17"
43,41062,"13415.114117908458","90565435.41"
15,123737,"9002.4930734269265731","89133683.92"
7,70713,"8358.7661483302601926","81598275.14"
42,39690,"11443.370117934704","79565752.43"
9,125833,"8772.8903789331228149","77789218.99"
29,93638,"8158.8106092014806980","77141554.31"
16,57197,"7863.2241236895054538","74252425.40"
37,39910,"10297.355026366916","74202740.32"
30,42988,"8764.2377193963107881","62716885.12"
3,37392,"6373.0339829570606463","57586735.07"
38,39690,"7492.4784596577017115","55159626.42"
36,39910,"8584.4125634844101575","53412214.97"
5,34875,"5053.4158128680964552","45475688.90"
44,39910,"6038.9298144790068350","43293087.84"
33,39690,"5728.4140527208262679","37160221.96"
