"store_id","avg_monthly_sales","stddev_monthly_sales"
20,"9133266.438181818182","1453493.6717"
4,"9077089.496363636364","1391964.0781"
14,"8757573.070909090909","1538988.2043"
13,"8682354.660606060606","1411408.6082"
2,"8344922.453939393939","1246723.8572"
10,"8230839.814848484848","1450895.2906"
27,"7692603.541818181818","1250367.9535"
6,"6780488.807272727273","1147193.2220"
1,"6739479.056060606061","904376.59374575"
39,"6286228.559696969697","1112342.6115"
19,"6261662.487878787879","1019232.8739"
31,"6048906.227272727273","755313.55946025"
23,"6022745.995454545455","1200828.4984"
24,"5879273.372121212121","914427.70555818"
11,"5877660.206060606061","892544.90163364"
28,"5735263.047878787879","737210.85826964"
41,"5495210.148181818182","945597.66780284"
32,"5055128.671515151515","764871.85800812"
18,"4700446.491212121212","826118.67867095"
22,"4456837.835454545455","803243.23766850"
12,"4372340.307575757576","683893.15937689"
26,"4345951.326969696970","641120.03689192"
34,"4189386.757575757576","586641.85838904"
40,"4177888.175454545455","647438.75164145"
35,"3985474.911515151515","866670.79827504"
8,"3937914.579696969697","565973.38097084"
17,"3872186.025151515152","561844.13825527"
45,"3405919.436969696970","622947.52312682"
21,"3276299.361212121212","595990.37782788"
25,"3062459.974848484848","586258.68475509"
43,"2744407.133636363636","310902.39338229"
15,"2701020.724848484848","546948.48546850"
7,"2472675.004242424242","542664.78906167"
42,"2411083.406969696970","246493.92622386"
9,"2357249.060303030303","361129.17448362"
29,"2337622.857878787879","439148.46377034"
16,"2250073.496969696970","444243.81763343"
37,"2248567.888484848485","246855.01074345"
30,"1900511.670303030303","201803.32731423"
3,"1745052.577878787879","257796.91613057"
38,"1671503.830909090909","235595.03042657"
36,"1618551.968787878788","302899.65726533"
5,"1378051.178787878788","204417.75055831"
44,"1311911.752727272727","164800.83537741"
33,"1126067.332121212121","132301.99148006"
