"store_id","date","weekly_sales","prev_week_sales","rev_perc"
1,"2010-12-03","1548033.78","1955624.11","-0.208"
1,"2010-12-31","1367320.01","2387950.20","-0.427"
1,"2011-12-02","1584083.95","2033320.66","-0.221"
1,"2011-12-30","1497462.72","2270188.99","-0.340"
2,"2010-12-03","2015781.27","2658725.29","-0.242"
2,"2010-12-31","1750434.55","3436007.68","-0.491"
2,"2011-12-02","1954952.00","2614202.30","-0.252"
2,"2011-12-30","1874226.52","3224369.80","-0.419"
3,"2010-12-31","382677.76","605990.41","-0.369"
3,"2011-12-30","410553.88","551221.21","-0.255"
4,"2010-12-03","2102530.17","2789469.45","-0.246"
4,"2010-12-31","1794868.74","3526713.39","-0.491"
4,"2011-12-02","2180999.26","3004702.33","-0.274"
4,"2011-12-30","2007105.86","3676388.98","-0.454"
5,"2010-12-03","344490.88","488362.61","-0.295"
5,"2010-12-31","298180.18","466010.25","-0.360"
5,"2011-12-02","376225.61","507900.07","-0.259"
5,"2011-12-30","349624.88","458562.24","-0.238"
6,"2010-12-03","1677067.24","2267452.40","-0.260"
6,"2010-12-31","1464050.02","2727575.18","-0.463"
6,"2011-12-02","1688531.34","2249811.55","-0.249"
6,"2011-12-30","1598080.52","2644633.02","-0.396"
7,"2010-12-03","552811.62","835189.26","-0.338"
7,"2010-12-31","729572.08","1045124.88","-0.302"
7,"2011-12-02","591907.88","949075.87","-0.376"
7,"2011-12-30","815915.52","1059715.27","-0.230"
8,"2010-12-03","952766.93","1261693.16","-0.245"
8,"2010-12-31","773586.49","1511641.09","-0.488"
8,"2011-12-02","986601.46","1235163.86","-0.201"
8,"2011-12-30","858572.22","1462254.05","-0.413"
9,"2010-12-03","578164.82","768070.53","-0.247"
9,"2010-12-31","459770.85","873347.55","-0.474"
9,"2011-12-02","613115.21","814753.50","-0.247"
9,"2011-12-30","549788.36","905324.68","-0.393"
10,"2010-12-03","2251206.64","2939946.38","-0.234"
10,"2010-12-31","1707298.14","3749057.69","-0.545"
10,"2011-12-02","2068097.18","2950198.64","-0.299"
10,"2011-12-30","1930690.37","3487986.89","-0.446"
11,"2010-12-03","1380522.64","1757242.51","-0.214"
11,"2010-12-31","1172003.10","2306265.36","-0.492"
11,"2011-12-02","1399322.44","1848953.48","-0.243"
11,"2011-12-30","1352084.21","2213518.50","-0.389"
12,"2010-12-03","1069533.17","1601377.41","-0.332"
12,"2010-12-31","891736.91","1768249.89","-0.496"
