"store_id","total_sales","avg_weekly_sales","volatility","sales_rank","avg_holiday_sales","avg_non_holiday_sales","holiday_diff","holiday_pct_lift"
20,"301397792.460","29508.302","35661.531","1","31106.986","29386.518","1720.468","0.059"
4,"299543953.380","29161.210","34583.678","2","30854.231","29032.261","1821.971","0.063"
14,"288999911.340","28784.852","36911.117","3","30164.765","28680.955","1483.810","0.052"
13,"286517703.800","27355.137","33853.475","4","28593.286","27261.147","1332.139","0.049"
2,"275382440.980","26898.070","33077.612","5","28798.711","26753.864","2044.846","0.076"
10,"271617713.890","26332.304","32133.006","6","29195.524","26116.167","3079.358","0.118"
27,"253855916.880","24826.985","29718.919","7","26318.488","24714.173","1604.315","0.065"
6,"223756130.640","21913.244","23633.427","8","23313.563","21806.855","1506.709","0.069"
1,"222402808.850","21710.544","27748.946","9","23039.387","21609.635","1429.752","0.066"
39,"207445542.470","21000.764","25373.752","10","22254.340","20905.595","1348.745","0.065"
19,"206634862.100","20362.127","24281.125","11","22056.598","20233.690","1822.908","0.090"
31,"199613905.500","19681.907","26841.564","12","20950.084","19585.577","1364.508","0.070"
23,"198750617.850","19776.181","20897.077","13","20774.748","19700.962","1073.786","0.055"
24,"194016021.280","18969.106","23332.133","14","20459.060","18856.110","1602.950","0.085"
11,"193962786.800","19276.763","20391.898","15","20486.485","19185.339","1301.146","0.068"
28,"189263680.580","18714.890","22440.041","16","20645.874","18567.759","2078.115","0.112"
41,"181341934.890","17976.005","22836.256","17","18775.638","17915.373","860.265","0.048"
32,"166819246.160","16351.622","20899.325","18","16789.178","16318.546","470.633","0.029"
18,"155114734.210","15733.313","18556.352","19","16948.147","15641.893","1306.255","0.084"
22,"147075648.570","15181.219","18430.663","20","15954.039","15122.880","831.159","0.055"
12,"144287230.150","14867.309","17967.249","21","16663.842","14731.304","1932.538","0.131"
26,"143416393.790","14554.130","20109.504","22","15380.873","14491.201","889.672","0.061"
34,"138249763.000","13522.082","16085.335","23","14573.120","13443.052","1130.068","0.084"
40,"137870309.790","13763.633","17729.599","24","14197.663","13730.522","467.141","0.034"
35,"131520672.080","13803.597","18312.463","25","16083.061","13631.737","2451.324","0.180"
8,"129951181.130","13133.015","15132.070","26","14013.374","13066.406","946.968","0.072"
17,"127782138.830","12954.394","16299.024","27","14179.406","12862.114","1317.293","0.102"
45,"112395341.420","11662.897","14075.516","28","12298.437","11614.648","683.789","0.059"
21,"108117878.920","11283.435","13030.321","29","12335.691","11204.327","1131.364","0.101"
25,"101061179.170","10308.158","12499.150","30","10704.441","10278.109","426.331","0.041"
43,"90565435.410","13415.114","20810.915","31","13473.438","13410.730","62.708","0.005"
15,"89133683.920","9002.493","11362.009","32","10077.119","8920.611","1156.507","0.130"
7,"81598275.140","8358.766","10679.008","33","9730.829","8254.247","1476.582","0.179"
42,"79565752.430","11443.370","18258.532","34","11680.950","11425.516","255.434","0.022"
9,"77789218.990","8772.890","12446.503","35","9423.213","8723.576","699.637","0.080"
29,"77141554.310","8158.811","10219.308","36","9086.196","8088.309","997.886","0.123"
16,"74252425.400","7863.224","10491.369","37","8421.005","7820.421","600.585","0.077"
37,"74202740.320","10297.355","16295.493","38","10170.843","10306.768","-135.925","-0.013"
30,"62716885.120","8764.238","14364.315","39","8772.275","8763.637","8.639","0.001"
3,"57586735.070","6373.034","14251.035","40","6916.446","6332.099","584.348","0.092"
38,"55159626.420","7492.478","12733.356","41","7480.586","7493.364","-12.778","-0.002"
36,"53412214.970","8584.413","12995.813","42","8412.829","8597.374","-184.545","-0.021"
5,"45475688.900","5053.416","8068.221","43","5617.213","5010.249","606.963","0.121"
44,"43293087.840","6038.930","10609.469","44","5932.577","6046.886","-114.309","-0.019"
33,"37160221.960","5728.414","8973.689","45","5796.788","5723.281","73.508","0.013"
