"store_id","avg_promo_sales","avg_non_promo_sales","diff","pct_lift"
39,"22646.429","19907.904","2738.524","0.138"
7,"8941.779","7967.563","974.217","0.122"
38,"7973.339","7160.831","812.508","0.113"
5,"5347.091","4857.324","489.767","0.101"
3,"6721.239","6140.297","580.941","0.095"
4,"30711.860","28126.102","2585.758","0.092"
41,"18896.128","17353.465","1542.663","0.089"
17,"13596.460","12521.372","1075.087","0.086"
44,"6301.806","5858.589","443.217","0.076"
34,"14092.566","13149.842","942.724","0.072"
9,"9128.297","8532.233","596.064","0.070"
13,"28425.302","26646.957","1778.345","0.067"
1,"22520.755","21172.509","1348.246","0.064"
32,"16885.513","15998.852","886.661","0.055"
12,"15325.359","14559.310","766.049","0.053"
8,"13532.455","12867.505","664.950","0.052"
23,"20355.967","19391.895","964.071","0.050"
31,"20156.310","19367.557","788.753","0.041"
20,"30202.583","29045.561","1157.022","0.040"
10,"26935.894","25937.172","998.721","0.039"
6,"22359.622","21616.192","743.430","0.034"
11,"19657.278","19020.957","636.322","0.033"
2,"27353.690","26594.348","759.342","0.029"
29,"8288.235","8073.059","215.176","0.027"
25,"10473.455","10197.894","275.561","0.027"
26,"14776.039","14405.350","370.689","0.026"
40,"13951.390","13637.615","313.775","0.023"
45,"11795.944","11574.000","221.945","0.019"
24,"19177.995","18829.916","348.079","0.018"
22,"15274.352","15118.895","155.457","0.010"
28,"18726.894","18706.881","20.014","0.001"
19,"20358.375","20364.617","-6.242","0.000"
16,"7859.721","7865.667","-5.946","-0.001"
18,"15725.182","15738.799","-13.618","-0.001"
42,"11386.796","11483.492","-96.696","-0.008"
30,"8721.245","8792.793","-71.548","-0.008"
43,"13322.292","13476.485","-154.193","-0.011"
15,"8939.566","9044.455","-104.889","-0.012"
33,"5662.298","5774.164","-111.866","-0.019"
21,"11096.874","11408.634","-311.760","-0.027"
27,"24398.013","25112.267","-714.254","-0.028"
37,"10107.259","10429.497","-322.238","-0.031"
35,"13195.225","14210.208","-1014.982","-0.071"
14,"27262.023","29797.125","-2535.103","-0.085"
36,"7271.983","9473.044","-2201.060","-0.232"
