"store_id","year","quarter","total_sales","sales_rank"
14,"2010","1","17138032.50","1"
20,"2010","1","16547027.02","2"
10,"2010","1","16258128.55","3"
14,"2010","2","29039924.35","1"
20,"2010","2","26696176.19","2"
2,"2010","2","25367303.89","3"
14,"2010","3","27358314.58","1"
20,"2010","3","25916754.86","2"
4,"2010","3","24509634.50","3"
20,"2010","4","32573122.65","1"
14,"2010","4","31925970.95","2"
4,"2010","4","30889467.22","3"
4,"2011","1","24334050.96","1"
20,"2011","1","23921181.50","2"
14,"2011","1","22576049.63","3"
14,"2011","2","26573493.92","1"
20,"2011","2","26566868.33","2"
4,"2011","2","26391646.52","3"
4,"2011","3","28888165.93","1"
20,"2011","3","28196615.83","2"
14,"2011","3","27509662.21","3"
4,"2011","4","31478429.92","1"
20,"2011","4","31152336.70","2"
13,"2011","4","29747837.83","3"
4,"2012","1","27930310.30","1"
20,"2012","1","26971607.79","2"
13,"2012","1","25182790.59","3"
4,"2012","2","28454363.67","1"
20,"2012","2","27524197.32","2"
13,"2012","2","27009207.14","3"
4,"2012","3","27796792.46","1"
20,"2012","3","26891526.98","2"
13,"2012","3","26421259.30","3"
4,"2012","4","8589722.81","1"
20,"2012","4","8440377.29","2"
13,"2012","4","8094197.99","3"
